PDB codes,0,1,2,3,4,5,6,7,8,9,Output
"5wwe , 4hj8",0.33701705432878953,-1.5774187254006007,-0.2860592310796041,-0.2600941080832799,-1.0452687351074947,-1.154871261998604,-0.1515042013854094,-0.18557525428622873,-0.04816359347402227,0.35727859576032633,0
"1u63 , 4hik",-4.089203863795989,3.1572932881904787,-5.665602382326152,5.250757006984484,-0.02692847402558931,-0.6260412067294157,0.8628109019751988,-1.1923894293973067,-0.30278745706125737,-0.21674934610736973,1
"1exd , 4hj5",-2.9226211234246002,0.9076597657751568,1.9906981755302595,-2.075047380317104,-1.4750132283380313,0.10321239634957831,0.42388033232103944,0.03864886923884894,0.3341381339486906,-0.32998225393386893,1
"1omh , 4him",-2.3828508371633785,1.1757584683450244,-0.09605038057961081,-0.45618663225920564,-0.8535761909820062,-0.3726145929012993,-1.2222986786669618,-0.2544755249696478,-0.5364582588333063,-0.17590500888612845,0
"3rn2 , 5wzk",0.3696172288187376,0.34116779892672894,-3.4774056402159825,1.3711414112901414,-0.7586324856575049,-0.04618736751728418,-2.5059936294324867,0.4243599528851409,0.446486350215551,0.16067884622210016,1
"2leb , 2la5",-0.0626638955257665,-0.43707875462883905,0.8090002654059982,-0.3479915460249725,1.1959344641804006,0.5118837809443691,1.9914773353949364,0.6714031474649074,0.4283673158541935,0.4461012965123756,0
"5ytv , 4hj5",0.4606916731934103,-3.004780468546034,-0.10112039362754605,-0.0040966004209355865,-1.3556408471502603,0.7116862138635415,-0.19167683215463263,0.2637522386475167,-0.47932808519828357,-0.31132407433702725,0
"1knz , 5wzj",-5.220925564824326,8.348815990635728,1.4899412168887018,-3.983452366840852,-0.06100517626827438,1.0666171775395858,-0.642010934502433,-0.7211599448390651,0.045103599283401956,0.024788973572496664,0
"5z6z , 1knz",5.3236281627409685,8.42786417359187,-2.963655320671281,-2.0883612056338605,1.1138150615977327,0.5027588430574469,0.5110931870904206,0.019961757405028778,0.16683145610111702,-0.0022040707212415147,1
"4hj8 , 4hj7",-0.25446141191681004,-1.2515741214740639,-0.07872473286524642,-0.5950965306782087,-0.284038239989613,-0.7540544477089961,0.05983650486632364,-0.4537690460951981,0.3526172081979091,-0.36661301387177636,0
"5yts , 1wwe",0.9729179485901658,-2.702900331350849,-0.3153777173892523,-0.0017150992959214532,0.5293591241041403,-0.979330095557504,0.09846659323412695,0.4169948752999045,-0.43951326812780045,0.15176048591489041,0
"6eo7 , 1s03",3.592468944864663,-0.3109475096244945,0.6719819100723087,1.1666682733565577,-0.3622268277884459,-0.09138405733512105,-1.421214565906408,0.19239548499415002,-0.5924629269731553,0.09427600470154529,1
"2l41 , 1knz",8.955316934937672,4.191523324653771,-2.658126594806393,-2.4954138239935277,0.8391614903240542,-0.6656777678692262,0.1082667161648654,0.22322586980075726,-0.22092587160248653,-0.0015123905960291461,0
"4hid , 5ytv",-1.1646401018769736,-2.5388528871245493,0.20209776252680234,-0.21454311061759027,0.4150857838758553,0.19375642967829718,-0.1911919099268959,0.39785339001739434,-0.3838382917941924,-0.47123836094514054,1
"1osb , 2kx5",-6.339038190586567,6.688519881166983,1.4470473074529435,-0.28138327061085805,-0.8898928271347416,-1.9707017773206341,-0.6433296725783149,0.16495277118493407,-0.8699381168037841,0.4260054062668922,0
"4hj7 , 4hj8",0.07491939129408792,-1.2895028816399692,0.05301990394665922,-0.5964415272229607,-0.7967807637303115,0.03601035128998488,0.26575485860025766,-0.41450555428487484,-0.33340169391724245,0.3697082394027884,1
"2kh9 , 4hio",0.6436866026467727,-2.5185067363745524,-0.26042318290325145,-0.15043811135058674,-0.36288155947935125,0.9139851630654092,-0.35777224042265166,0.510423001789558,-0.24008676281593025,-0.022960385829519273,0
"1wwf , 1jbr",0.429848340130461,-0.02341805226563755,1.0021795687968298,0.2826126019488113,1.3940121862915205,1.8025100151895017,-1.132508739994499,-0.3171174482279214,0.4886968394959604,0.4411068930075859,1
"4him , 1s03",2.61850149430505,0.8216352425463523,1.2562409932008927,0.6142592739602001,-0.4370121922812475,-0.6712769832466652,0.49807316820898995,-0.6728916394264932,-0.19535919940919572,0.06911553687302363,1
"1wwe , 2leb",0.47438945722124154,-0.9628620547539641,-0.44152301735943617,-0.7256933094480192,0.8421630232089697,0.5869559275988724,-1.0641131553242087,-1.2408092030708733,0.14791456060524866,0.4490188152084779,1
"2la5 , 1omh",2.0180210510725893,1.2989247958996737,-0.32102351226602427,0.07924116983059473,-0.33312547517766106,1.2593818735660542,-0.9292556022092489,1.509476845157845,0.41478982092885747,-0.5040643870501048,1
"2glo , 1wwd",-0.7223934947547416,-1.7685388899889432,-0.32295819198266723,0.33290980490950106,0.3420159848834538,0.8068671030073671,0.7390795021793676,-0.009314705743911486,-0.061623158239054655,-0.0541301663965836,1
"2lec , 2kh9",-1.0641239579422872,-2.2874785023232898,0.3735376934459696,-0.35269247384757757,0.9212512831673891,0.7271840310189129,0.39832980053174843,0.3700165741946904,-0.4372258725263324,-0.21276886539511475,1
"5ytv , 1wwd",0.3902141609178061,-3.0711518602185417,-0.05928349440021644,0.02090276356423742,0.22057839031748222,0.38656410379900535,-0.15587033178392434,0.4116466543331524,-0.499427764063919,-0.04037648341888408,0
"3rn2 , 2b6g",-1.6416335985520019,-1.4097865775656218,-1.9481306398785798,2.8989077432220514,-1.3797223139531187,0.06025151487855334,-2.6313674861668352,0.165337305598248,0.45548216088252147,0.12117380929132598,0
"2b6g , 4hid",0.6042088107173297,-2.441282385971962,-0.6961353302325295,0.23738906921553718,-0.0269504015394,-1.404490347178138,0.9960850400825972,-0.09403472234595393,0.10905712048233936,-0.36577261349724116,1
