Ro,Theta,Phi,3,4,5,6,7,8
5.438124087964526,0.20540050286260533,0.9639078802588253,2.396,-6.172,12.623,-380.48,29.91,1.0
6.617786741366029,0.5990905894343904,0.6964677273059773,4.499,3.688,4.688,-380.19,32.48,1.0
5.0965850544653915,1.0414137575471252,0.6319161112186197,3.418,0.886,-11.457,-378.63,26.55,1.0
2.469916349130067,0.631163573714181,1.015541861172311,7.521,-9.107,-11.521,-378.39,43.76,1.0
5.553906888191411,0.6089557606958049,0.5872100731837028,-9.311,6.25,-9.139,-378.37,30.68,1.0
3.467343549289571,1.0594313185607314,0.9621919486986794,2.971,1.053,-3.813,-378.09,36.14,1.0
7.151180386831253,0.4452976961788658,0.5701517675486527,8.255,3.124,-7.117,-377.52,38.09,1.0
5.0404818755650735,0.631603009446808,0.6416589089173929,-8.242,-3.42,-10.372,-377.39,29.25,1.0
8.166177411531052,0.33343915913653355,0.8537540668671824,-13.505,9.63,3.648,-377.26,41.78,1.0
6.728717298876511,0.300407155967898,0.8111586935129932,-7.715,2.287,3.091,-377.09,43.81,1.0
2.1312669456687026,-1.3837375958883982,0.7252207839050087,4.929,-1.31,10.838,-376.55,23.34,1.0
3.9220667807037657,0.7110382560556119,1.3314408426376794,12.317,1.351,-9.31,-376.51,40.79,1.0
6.586558452401375,0.5994213213834308,0.6939349605083714,4.924,3.837,4.793,-376.49,32.36,1.0
4.00068310438355,1.5114786109389127,0.7406146650718228,6.76,4.37,-1.12,-376.41,23.41,1.0
5.362150106048879,0.4002822320572079,1.309505949784762,8.35,-11.053,-3.041,-376.32,26.95,1.0
7.125078046435702,0.45550203164440417,0.5990051904766766,8.934,1.903,-5.395,-376.21,37.01,1.0
5.030481290512867,0.2485959317102873,1.1558678805881244,-2.047,17.415,6.219,-376.1,23.92,1.0
7.412408968135798,0.4874110751982193,0.5420608906618343,8.567,0.193,-8.058,-376.04,37.71,1.0
3.805406047664296,0.8194863906597477,0.8549992636290606,9.398,-5.537,-11.491,-375.96,37.56,1.0
6.734793740947083,0.2925965764772822,0.8100778438758957,-7.735,2.442,3.735,-375.49,43.83,1.0
6.444525087521966,1.013143300404746,0.6720733687485438,8.668,3.525,-4.215,-375.33,26.03,1.0
5.866172479232093,0.5773350125414183,1.3395908179281673,8.345,4.912,-6.946,-375.25,27.18,1.0
5.223346777163086,0.023410366132006293,0.8961041395929399,-7.849,-8.677,8.666,-375.16,28.24,1.0
3.5752831367739257,0.9829242052613119,0.8740467903931594,10.914,-1.519,-10.071,-375.11,36.3,1.0
6.074033116653219,0.4490208371801905,0.810278712667498,-14.976,7.893,-7.222,-375.09,43.21,1.0
4.848527405192219,0.3829252584838652,1.3867005718072307,11.563,-6.792,-5.682,-375.02,29.13,1.0
7.049277469868809,0.2390796904016557,0.1010747990847483,2.059,1.585,-0.966,-375.0,3.45,1.0
5.427331405727864,0.39496795377252125,1.23023046321775,7.396,-0.907,-2.284,-374.92,25.18,1.0
4.688392557263097,1.3680554629841963,0.7095378991318515,7.539,2.519,-8.858,-374.79,27.58,1.0
6.2188645279745405,0.15283576931078044,1.1174920647835946,10.252,-1.54,15.519,-374.76,32.71,1.0
5.735780112329969,1.2810295055831937,0.3332029000034781,13.89,-6.982,-17.261,-374.68,38.24,1.0
